user_id,registration_date,age,gender,region,acq_channel,buyer_segment,cohort_week,cohort_month
1,2024-01-01 00:47:00,35,M,Москва,Google Ads,regular,2024-01-01,2024-01-01
2,2024-01-01 19:01:00,53,M,Москва,Email Marketing,rare,2024-01-01,2024-01-01
3,2024-01-01 04:13:00,66,F,Санкт-Петербург,Google Ads,regular,2024-01-01,2024-01-01
4,2024-01-01 17:18:00,58,M,Краснодар,Affiliate,one_time,2024-01-01,2024-01-01
5,2024-01-01 08:29:00,58,F,Другие регионы,Google Ads,regular,2024-01-01,2024-01-01
6,2024-01-01 20:44:00,53,M,Москва,SEO,medium,2024-01-01,2024-01-01
7,2024-01-01 06:58:00,54,F,Другие регионы,Affiliate,medium,2024-01-01,2024-01-01
8,2024-01-01 12:23:00,32,M,Другие регионы,Social Media,regular,2024-01-01,2024-01-01
10,2024-01-01 14:00:00,64,M,Другие регионы,Email Marketing,medium,2024-01-01,2024-01-01
11,2024-01-01 05:34:00,67,F,Другие регионы,Affiliate,one_time,2024-01-01,2024-01-01
12,2024-01-01 07:56:00,54,M,Другие регионы,Social Media,regular,2024-01-01,2024-01-01
13,2024-01-01 19:27:00,31,F,Другие регионы,Affiliate,rare,2024-01-01,2024-01-01
14,2024-01-01 02:21:00,19,M,Нижний Новгород,Google Ads,medium,2024-01-01,2024-01-01
15,2024-01-01 07:17:00,60,F,Екатеринбург,Affiliate,medium,2024-01-01,2024-01-01
16,2024-01-01 13:29:00,64,M,Москва,Affiliate,rare,2024-01-01,2024-01-01
18,2024-01-01 05:26:00,49,M,Екатеринбург,TikTok,one_time,2024-01-01,2024-01-01
19,2024-01-01 06:18:00,31,F,Другие регионы,Email Marketing,rare,2024-01-01,2024-01-01
21,2024-01-01 06:42:00,63,F,Санкт-Петербург,Google Ads,medium,2024-01-01,2024-01-01
22,2024-01-01 17:13:00,50,M,Санкт-Петербург,TikTok,one_time,2024-01-01,2024-01-01
23,2024-01-01 03:56:00,26,M,Санкт-Петербург,Affiliate,one_time,2024-01-01,2024-01-01
24,2024-01-01 15:16:00,21,M,Москва,Google Ads,medium,2024-01-01,2024-01-01
25,2024-01-01 00:07:00,22,M,Другие регионы,Google Ads,rare,2024-01-01,2024-01-01
26,2024-01-01 21:15:00,60,F,Москва,TikTok,rare,2024-01-01,2024-01-01
27,2024-01-01 21:55:00,65,M,Другие регионы,SEO,medium,2024-01-01,2024-01-01
28,2024-01-01 11:19:00,70,M,Другие регионы,Google Ads,medium,2024-01-01,2024-01-01
29,2024-01-01 17:21:00,19,F,Москва,Google Ads,one_time,2024-01-01,2024-01-01
30,2024-01-01 19:32:00,25,F,Санкт-Петербург,Google Ads,rare,2024-01-01,2024-01-01
31,2024-01-01 02:42:00,39,F,Краснодар,Google Ads,rare,2024-01-01,2024-01-01
32,2024-01-01 21:24:00,61,F,Другие регионы,Affiliate,regular,2024-01-01,2024-01-01
33,2024-01-01 14:43:00,31,M,Екатеринбург,TikTok,rare,2024-01-01,2024-01-01
34,2024-01-01 06:09:00,19,M,Москва,Affiliate,one_time,2024-01-01,2024-01-01
36,2024-01-01 17:15:00,25,F,Московская область,Affiliate,rare,2024-01-01,2024-01-01
37,2024-01-01 15:28:00,34,F,Другие регионы,Google Ads,rare,2024-01-01,2024-01-01
38,2024-01-01 10:57:00,52,M,Москва,Social Media,regular,2024-01-01,2024-01-01
39,2024-01-01 01:13:00,44,M,Санкт-Петербург,TikTok,rare,2024-01-01,2024-01-01
40,2024-01-01 08:27:00,49,F,Москва,Affiliate,medium,2024-01-01,2024-01-01
41,2024-01-01 20:27:00,26,F,Другие регионы,Google Ads,medium,2024-01-01,2024-01-01
42,2024-01-01 15:01:00,65,M,Новосибирск,Google Ads,one_time,2024-01-01,2024-01-01
43,2024-01-01 04:30:00,60,F,Москва,Social Media,one_time,2024-01-01,2024-01-01
44,2024-01-01 03:37:00,19,F,Другие регионы,TikTok,rare,2024-01-01,2024-01-01
45,2024-01-01 01:22:00,52,F,Московская область,Email Marketing,medium,2024-01-01,2024-01-01
46,2024-01-01 05:46:00,51,F,Другие регионы,SEO,medium,2024-01-01,2024-01-01
47,2024-01-01 14:15:00,66,M,Московская область,Social Media,rare,2024-01-01,2024-01-01
48,2024-01-01 19:44:00,35,M,Новосибирск,Google Ads,medium,2024-01-01,2024-01-01
49,2024-01-01 02:18:00,32,F,Московская область,Affiliate,medium,2024-01-01,2024-01-01
50,2024-01-01 09:16:00,32,M,Москва,Google Ads,medium,2024-01-01,2024-01-01
51,2024-01-01 09:14:00,41,F,Москва,Email Marketing,regular,2024-01-01,2024-01-01
52,2024-01-01 00:36:00,36,M,Московская область,Google Ads,medium,2024-01-01,2024-01-01
53,2024-01-01 04:51:00,54,F,Другие регионы,Google Ads,regular,2024-01-01,2024-01-01
54,2024-01-01 19:03:00,57,M,Другие регионы,SEO,regular,2024-01-01,2024-01-01
55,2024-01-01 00:26:00,46,F,Другие регионы,Google Ads,medium,2024-01-01,2024-01-01
56,2024-01-01 17:14:00,59,M,Москва,Google Ads,medium,2024-01-01,2024-01-01
57,2024-01-01 14:44:00,37,F,Другие регионы,Email Marketing,one_time,2024-01-01,2024-01-01
59,2024-01-01 05:37:00,45,F,Краснодар,Google Ads,medium,2024-01-01,2024-01-01
60,2024-01-01 15:18:00,60,F,Другие регионы,Email Marketing,rare,2024-01-01,2024-01-01
61,2024-01-01 01:12:00,51,M,Санкт-Петербург,Affiliate,rare,2024-01-01,2024-01-01
62,2024-01-01 00:40:00,56,M,Другие регионы,Google Ads,rare,2024-01-01,2024-01-01
63,2024-01-01 04:31:00,63,F,Санкт-Петербург,Social Media,rare,2024-01-01,2024-01-01
64,2024-01-01 16:47:00,26,F,Другие регионы,SEO,medium,2024-01-01,2024-01-01
65,2024-01-01 17:30:00,40,F,Санкт-Петербург,Social Media,rare,2024-01-01,2024-01-01
66,2024-01-01 23:30:00,63,M,Другие регионы,TikTok,medium,2024-01-01,2024-01-01
67,2024-01-01 14:00:00,64,M,Москва,TikTok,one_time,2024-01-01,2024-01-01
68,2024-01-01 22:56:00,66,M,Екатеринбург,Affiliate,medium,2024-01-01,2024-01-01
69,2024-01-01 05:44:00,37,F,Другие регионы,SEO,regular,2024-01-01,2024-01-01
70,2024-01-01 05:05:00,57,M,Другие регионы,Google Ads,rare,2024-01-01,2024-01-01
71,2024-01-01 17:10:00,22,F,Московская область,Affiliate,medium,2024-01-01,2024-01-01
72,2024-01-01 18:22:00,54,F,Санкт-Петербург,Google Ads,rare,2024-01-01,2024-01-01
73,2024-01-01 07:38:00,69,M,Санкт-Петербург,Affiliate,rare,2024-01-01,2024-01-01
74,2024-01-01 04:05:00,36,F,Санкт-Петербург,Google Ads,medium,2024-01-01,2024-01-01
75,2024-01-01 14:04:00,27,F,Другие регионы,Affiliate,medium,2024-01-01,2024-01-01
76,2024-01-01 03:29:00,41,F,Другие регионы,Affiliate,rare,2024-01-01,2024-01-01
77,2024-01-01 02:40:00,70,M,Московская область,Affiliate,rare,2024-01-01,2024-01-01
78,2024-01-01 07:56:00,52,F,Москва,Affiliate,medium,2024-01-01,2024-01-01
80,2024-01-01 14:05:00,60,M,Москва,TikTok,rare,2024-01-01,2024-01-01
81,2024-01-01 10:49:00,27,M,Другие регионы,Google Ads,rare,2024-01-01,2024-01-01
82,2024-01-01 07:37:00,38,F,Москва,Google Ads,medium,2024-01-01,2024-01-01
84,2024-01-01 21:06:00,49,F,Другие регионы,TikTok,medium,2024-01-01,2024-01-01
85,2024-01-01 19:27:00,24,M,Другие регионы,Affiliate,regular,2024-01-01,2024-01-01
86,2024-01-01 03:20:00,45,F,Санкт-Петербург,TikTok,medium,2024-01-01,2024-01-01
87,2024-01-01 17:03:00,55,F,Другие регионы,Affiliate,rare,2024-01-01,2024-01-01
88,2024-01-01 18:32:00,31,F,Москва,SEO,medium,2024-01-01,2024-01-01
89,2024-01-01 19:39:00,61,F,Ростов-на-Дону,TikTok,regular,2024-01-01,2024-01-01
90,2024-01-01 18:42:00,43,M,Москва,TikTok,rare,2024-01-01,2024-01-01
91,2024-01-01 04:10:00,66,F,Краснодар,Google Ads,rare,2024-01-01,2024-01-01
92,2024-01-01 03:18:00,61,M,Другие регионы,Affiliate,medium,2024-01-01,2024-01-01
93,2024-01-01 08:18:00,38,M,Москва,Social Media,medium,2024-01-01,2024-01-01
95,2024-01-01 22:58:00,41,F,Москва,Google Ads,rare,2024-01-01,2024-01-01
96,2024-01-01 16:40:00,25,F,Новосибирск,SEO,medium,2024-01-01,2024-01-01
97,2024-01-01 04:48:00,66,F,Ростов-на-Дону,SEO,regular,2024-01-01,2024-01-01
98,2024-01-01 14:04:00,48,M,Московская область,Google Ads,medium,2024-01-01,2024-01-01
99,2024-01-01 19:32:00,42,M,Московская область,SEO,rare,2024-01-01,2024-01-01
100,2024-01-01 03:51:00,39,M,Другие регионы,Affiliate,regular,2024-01-01,2024-01-01
101,2024-01-01 13:49:00,39,F,Другие регионы,Affiliate,regular,2024-01-01,2024-01-01
102,2024-01-01 21:58:00,56,M,Другие регионы,Affiliate,medium,2024-01-01,2024-01-01
103,2024-01-01 17:24:00,59,M,Другие регионы,Affiliate,rare,2024-01-01,2024-01-01
104,2024-01-01 04:09:00,22,M,Санкт-Петербург,Email Marketing,rare,2024-01-01,2024-01-01
105,2024-01-01 13:23:00,61,F,Другие регионы,Affiliate,one_time,2024-01-01,2024-01-01
106,2024-01-01 09:49:00,42,M,Екатеринбург,Google Ads,medium,2024-01-01,2024-01-01
107,2024-01-01 02:48:00,28,F,Санкт-Петербург,Google Ads,one_time,2024-01-01,2024-01-01
108,2024-01-01 12:32:00,41,M,Москва,Google Ads,one_time,2024-01-01,2024-01-01
109,2024-01-02 15:44:00,26,M,Другие регионы,Affiliate,medium,2024-01-01,2024-01-01
110,2024-01-02 09:15:00,37,F,Москва,Affiliate,medium,2024-01-01,2024-01-01
111,2024-01-02 04:18:00,45,M,Москва,Affiliate,medium,2024-01-01,2024-01-01
112,2024-01-02 01:40:00,42,M,Другие регионы,Google Ads,medium,2024-01-01,2024-01-01
113,2024-01-02 01:22:00,52,F,Санкт-Петербург,SEO,rare,2024-01-01,2024-01-01
114,2024-01-02 06:02:00,68,F,Москва,TikTok,regular,2024-01-01,2024-01-01
115,2024-01-02 03:51:00,41,F,Московская область,Social Media,medium,2024-01-01,2024-01-01
116,2024-01-02 23:27:00,23,F,Московская область,Google Ads,one_time,2024-01-01,2024-01-01
117,2024-01-02 19:45:00,45,F,Москва,Social Media,medium,2024-01-01,2024-01-01
118,2024-01-02 23:43:00,28,F,Другие регионы,Affiliate,regular,2024-01-01,2024-01-01
119,2024-01-02 18:02:00,56,F,Москва,Google Ads,medium,2024-01-01,2024-01-01
120,2024-01-02 00:47:00,29,F,Екатеринбург,Email Marketing,medium,2024-01-01,2024-01-01
121,2024-01-02 02:28:00,29,F,Другие регионы,Google Ads,medium,2024-01-01,2024-01-01
122,2024-01-02 22:45:00,62,M,Краснодар,Email Marketing,rare,2024-01-01,2024-01-01
123,2024-01-02 18:23:00,47,M,Другие регионы,Affiliate,rare,2024-01-01,2024-01-01
124,2024-01-02 02:08:00,38,F,Ростов-на-Дону,Affiliate,medium,2024-01-01,2024-01-01
125,2024-01-02 04:19:00,28,F,Москва,Google Ads,one_time,2024-01-01,2024-01-01
126,2024-01-02 17:05:00,50,M,Ростов-на-Дону,Affiliate,rare,2024-01-01,2024-01-01
127,2024-01-02 18:26:00,57,F,Краснодар,Affiliate,medium,2024-01-01,2024-01-01
128,2024-01-02 01:10:00,46,M,Московская область,Google Ads,medium,2024-01-01,2024-01-01
129,2024-01-02 17:06:00,38,M,Москва,Social Media,regular,2024-01-01,2024-01-01
130,2024-01-02 10:59:00,54,F,Другие регионы,Google Ads,medium,2024-01-01,2024-01-01
131,2024-01-02 18:22:00,21,F,Москва,TikTok,medium,2024-01-01,2024-01-01
132,2024-01-02 01:36:00,53,F,Москва,Google Ads,rare,2024-01-01,2024-01-01
133,2024-01-02 04:12:00,56,M,Екатеринбург,Google Ads,medium,2024-01-01,2024-01-01
134,2024-01-02 10:10:00,43,F,Другие регионы,Google Ads,rare,2024-01-01,2024-01-01
135,2024-01-02 09:50:00,64,F,Другие регионы,Affiliate,rare,2024-01-01,2024-01-01
136,2024-01-02 21:15:00,20,F,Нижний Новгород,Google Ads,rare,2024-01-01,2024-01-01
137,2024-01-02 04:33:00,31,F,Новосибирск,Social Media,one_time,2024-01-01,2024-01-01
138,2024-01-02 23:43:00,59,M,Другие регионы,Social Media,medium,2024-01-01,2024-01-01
139,2024-01-02 11:35:00,68,F,Другие регионы,Affiliate,medium,2024-01-01,2024-01-01
140,2024-01-02 02:22:00,46,F,Ростов-на-Дону,Google Ads,rare,2024-01-01,2024-01-01
141,2024-01-02 21:57:00,51,F,Москва,Google Ads,medium,2024-01-01,2024-01-01
142,2024-01-02 20:59:00,48,F,Московская область,TikTok,medium,2024-01-01,2024-01-01
143,2024-01-02 05:59:00,20,F,Другие регионы,Social Media,medium,2024-01-01,2024-01-01
144,2024-01-02 14:41:00,52,F,Екатеринбург,Google Ads,one_time,2024-01-01,2024-01-01
145,2024-01-02 08:45:00,29,M,Москва,Google Ads,medium,2024-01-01,2024-01-01
146,2024-01-02 21:06:00,29,M,Другие регионы,TikTok,medium,2024-01-01,2024-01-01
147,2024-01-02 11:44:00,33,F,Москва,Google Ads,regular,2024-01-01,2024-01-01
148,2024-01-02 04:30:00,27,F,Московская область,Google Ads,one_time,2024-01-01,2024-01-01
149,2024-01-02 22:23:00,22,M,Другие регионы,SEO,regular,2024-01-01,2024-01-01
150,2024-01-02 06:45:00,55,M,Екатеринбург,Social Media,one_time,2024-01-01,2024-01-01
151,2024-01-02 09:46:00,19,M,Санкт-Петербург,Affiliate,rare,2024-01-01,2024-01-01
152,2024-01-02 09:26:00,29,F,Другие регионы,TikTok,rare,2024-01-01,2024-01-01
153,2024-01-02 05:34:00,43,M,Екатеринбург,Google Ads,rare,2024-01-01,2024-01-01
154,2024-01-02 07:29:00,40,M,Москва,TikTok,medium,2024-01-01,2024-01-01
155,2024-01-02 01:28:00,56,M,Другие регионы,Google Ads,one_time,2024-01-01,2024-01-01
156,2024-01-02 23:36:00,38,M,Нижний Новгород,SEO,rare,2024-01-01,2024-01-01
157,2024-01-02 01:35:00,55,F,Другие регионы,Affiliate,one_time,2024-01-01,2024-01-01
158,2024-01-02 13:26:00,27,M,Санкт-Петербург,Email Marketing,medium,2024-01-01,2024-01-01
159,2024-01-02 17:33:00,26,M,Санкт-Петербург,Google Ads,medium,2024-01-01,2024-01-01
160,2024-01-02 21:38:00,56,M,Москва,SEO,regular,2024-01-01,2024-01-01
161,2024-01-02 06:47:00,25,M,Другие регионы,TikTok,rare,2024-01-01,2024-01-01
162,2024-01-02 11:32:00,49,F,Московская область,Affiliate,rare,2024-01-01,2024-01-01
163,2024-01-02 08:35:00,55,F,Нижний Новгород,Google Ads,medium,2024-01-01,2024-01-01
164,2024-01-02 15:46:00,59,F,Другие регионы,Affiliate,medium,2024-01-01,2024-01-01
165,2024-01-02 01:53:00,22,F,Другие регионы,SEO,rare,2024-01-01,2024-01-01
166,2024-01-02 14:23:00,21,F,Краснодар,Affiliate,rare,2024-01-01,2024-01-01
167,2024-01-02 16:46:00,35,F,Новосибирск,Email Marketing,medium,2024-01-01,2024-01-01
168,2024-01-02 19:33:00,34,F,Другие регионы,Social Media,medium,2024-01-01,2024-01-01
169,2024-01-02 12:24:00,42,M,Новосибирск,Google Ads,regular,2024-01-01,2024-01-01
170,2024-01-02 06:57:00,62,M,Другие регионы,Google Ads,medium,2024-01-01,2024-01-01
171,2024-01-02 04:48:00,70,M,Другие регионы,Google Ads,medium,2024-01-01,2024-01-01
172,2024-01-02 23:08:00,68,F,Другие регионы,Email Marketing,rare,2024-01-01,2024-01-01
173,2024-01-02 19:38:00,43,F,Другие регионы,Affiliate,medium,2024-01-01,2024-01-01
174,2024-01-02 18:42:00,42,M,Москва,SEO,rare,2024-01-01,2024-01-01
175,2024-01-02 11:06:00,23,F,Москва,Google Ads,medium,2024-01-01,2024-01-01
