user_id,registration_date,age,gender,region,acq_channel,buyer_segment,cohort_week,cohort_month
18,2024-01-01 05:26:00,49,M,Екатеринбург,TikTok,one_time,2024-01-01,2024-01-01
22,2024-01-01 17:13:00,50,M,Санкт-Петербург,TikTok,one_time,2024-01-01,2024-01-01
26,2024-01-01 21:15:00,60,F,Москва,TikTok,rare,2024-01-01,2024-01-01
33,2024-01-01 14:43:00,31,M,Екатеринбург,TikTok,rare,2024-01-01,2024-01-01
39,2024-01-01 01:13:00,44,M,Санкт-Петербург,TikTok,rare,2024-01-01,2024-01-01
44,2024-01-01 03:37:00,19,F,Другие регионы,TikTok,rare,2024-01-01,2024-01-01
66,2024-01-01 23:30:00,63,M,Другие регионы,TikTok,medium,2024-01-01,2024-01-01
67,2024-01-01 14:00:00,64,M,Москва,TikTok,one_time,2024-01-01,2024-01-01
80,2024-01-01 14:05:00,60,M,Москва,TikTok,rare,2024-01-01,2024-01-01
84,2024-01-01 21:06:00,49,F,Другие регионы,TikTok,medium,2024-01-01,2024-01-01
86,2024-01-01 03:20:00,45,F,Санкт-Петербург,TikTok,medium,2024-01-01,2024-01-01
89,2024-01-01 19:39:00,61,F,Ростов-на-Дону,TikTok,regular,2024-01-01,2024-01-01
90,2024-01-01 18:42:00,43,M,Москва,TikTok,rare,2024-01-01,2024-01-01
114,2024-01-02 06:02:00,68,F,Москва,TikTok,regular,2024-01-01,2024-01-01
131,2024-01-02 18:22:00,21,F,Москва,TikTok,medium,2024-01-01,2024-01-01
142,2024-01-02 20:59:00,48,F,Московская область,TikTok,medium,2024-01-01,2024-01-01
146,2024-01-02 21:06:00,29,M,Другие регионы,TikTok,medium,2024-01-01,2024-01-01
152,2024-01-02 09:26:00,29,F,Другие регионы,TikTok,rare,2024-01-01,2024-01-01
154,2024-01-02 07:29:00,40,M,Москва,TikTok,medium,2024-01-01,2024-01-01
161,2024-01-02 06:47:00,25,M,Другие регионы,TikTok,rare,2024-01-01,2024-01-01
180,2024-01-02 12:17:00,70,M,Другие регионы,TikTok,medium,2024-01-01,2024-01-01
193,2024-01-03 03:47:00,59,F,Другие регионы,TikTok,medium,2024-01-01,2024-01-01
217,2024-01-03 06:33:00,33,M,Московская область,TikTok,one_time,2024-01-01,2024-01-01
219,2024-01-03 23:20:00,38,M,Московская область,TikTok,medium,2024-01-01,2024-01-01
244,2024-01-03 18:37:00,55,M,Другие регионы,TikTok,one_time,2024-01-01,2024-01-01
247,2024-01-03 13:38:00,59,F,Москва,TikTok,medium,2024-01-01,2024-01-01
255,2024-01-03 13:25:00,42,M,Другие регионы,TikTok,rare,2024-01-01,2024-01-01
262,2024-01-03 04:21:00,49,F,Санкт-Петербург,TikTok,medium,2024-01-01,2024-01-01
267,2024-01-03 02:49:00,50,M,Москва,TikTok,rare,2024-01-01,2024-01-01
268,2024-01-03 10:27:00,65,M,Москва,TikTok,one_time,2024-01-01,2024-01-01
279,2024-01-03 13:53:00,55,M,Екатеринбург,TikTok,medium,2024-01-01,2024-01-01
286,2024-01-04 18:34:00,65,F,Нижний Новгород,TikTok,rare,2024-01-01,2024-01-01
290,2024-01-04 21:22:00,46,M,Москва,TikTok,rare,2024-01-01,2024-01-01
298,2024-01-04 21:51:00,54,F,Другие регионы,TikTok,one_time,2024-01-01,2024-01-01
304,2024-01-04 05:11:00,54,F,Другие регионы,TikTok,rare,2024-01-01,2024-01-01
377,2024-01-04 17:34:00,64,M,Москва,TikTok,medium,2024-01-01,2024-01-01
385,2024-01-04 22:24:00,64,F,Другие регионы,TikTok,medium,2024-01-01,2024-01-01
389,2024-01-04 01:42:00,54,M,Другие регионы,TikTok,medium,2024-01-01,2024-01-01
404,2024-01-05 06:45:00,66,F,Другие регионы,TikTok,medium,2024-01-01,2024-01-01
418,2024-01-05 20:30:00,55,M,Москва,TikTok,regular,2024-01-01,2024-01-01
430,2024-01-05 22:21:00,43,F,Нижний Новгород,TikTok,medium,2024-01-01,2024-01-01
432,2024-01-05 01:24:00,60,F,Москва,TikTok,rare,2024-01-01,2024-01-01
449,2024-01-05 02:35:00,66,M,Москва,TikTok,rare,2024-01-01,2024-01-01
461,2024-01-05 17:32:00,39,M,Ростов-на-Дону,TikTok,medium,2024-01-01,2024-01-01
463,2024-01-05 12:12:00,49,F,Санкт-Петербург,TikTok,rare,2024-01-01,2024-01-01
473,2024-01-05 09:44:00,41,F,Москва,TikTok,medium,2024-01-01,2024-01-01
477,2024-01-05 18:48:00,18,M,Екатеринбург,TikTok,rare,2024-01-01,2024-01-01
480,2024-01-05 06:54:00,22,F,Другие регионы,TikTok,rare,2024-01-01,2024-01-01
494,2024-01-06 22:33:00,29,F,Нижний Новгород,TikTok,medium,2024-01-01,2024-01-01
500,2024-01-06 18:47:00,42,M,Другие регионы,TikTok,rare,2024-01-01,2024-01-01
516,2024-01-06 08:47:00,41,F,Другие регионы,TikTok,medium,2024-01-01,2024-01-01
520,2024-01-06 09:43:00,61,M,Москва,TikTok,medium,2024-01-01,2024-01-01
534,2024-01-06 15:32:00,55,F,Другие регионы,TikTok,one_time,2024-01-01,2024-01-01
538,2024-01-06 07:13:00,53,F,Москва,TikTok,regular,2024-01-01,2024-01-01
539,2024-01-06 19:14:00,25,F,Новосибирск,TikTok,medium,2024-01-01,2024-01-01
540,2024-01-06 03:06:00,68,M,Краснодар,TikTok,rare,2024-01-01,2024-01-01
551,2024-01-06 18:31:00,58,F,Московская область,TikTok,medium,2024-01-01,2024-01-01
563,2024-01-06 16:13:00,68,M,Другие регионы,TikTok,medium,2024-01-01,2024-01-01
565,2024-01-06 12:44:00,25,F,Другие регионы,TikTok,rare,2024-01-01,2024-01-01
567,2024-01-06 02:50:00,59,F,Ростов-на-Дону,TikTok,medium,2024-01-01,2024-01-01
573,2024-01-06 06:21:00,23,M,Другие регионы,TikTok,rare,2024-01-01,2024-01-01
586,2024-01-07 17:24:00,62,M,Санкт-Петербург,TikTok,rare,2024-01-01,2024-01-01
588,2024-01-07 10:45:00,41,F,Екатеринбург,TikTok,medium,2024-01-01,2024-01-01
593,2024-01-07 09:18:00,70,M,Санкт-Петербург,TikTok,one_time,2024-01-01,2024-01-01
612,2024-01-07 19:31:00,24,M,Другие регионы,TikTok,rare,2024-01-01,2024-01-01
620,2024-01-07 00:48:00,42,F,Московская область,TikTok,regular,2024-01-01,2024-01-01
622,2024-01-07 20:37:00,22,F,Московская область,TikTok,regular,2024-01-01,2024-01-01
624,2024-01-07 14:43:00,27,M,Санкт-Петербург,TikTok,rare,2024-01-01,2024-01-01
625,2024-01-07 05:53:00,45,F,Санкт-Петербург,TikTok,medium,2024-01-01,2024-01-01
626,2024-01-07 23:13:00,65,F,Санкт-Петербург,TikTok,medium,2024-01-01,2024-01-01
651,2024-01-07 05:27:00,60,F,Москва,TikTok,medium,2024-01-01,2024-01-01
660,2024-01-07 05:36:00,21,M,Москва,TikTok,medium,2024-01-01,2024-01-01
669,2024-01-07 21:15:00,21,M,Другие регионы,TikTok,medium,2024-01-01,2024-01-01
674,2024-01-08 02:36:00,42,F,Москва,TikTok,rare,2024-01-08,2024-01-01
688,2024-01-08 09:44:00,47,F,Екатеринбург,TikTok,rare,2024-01-08,2024-01-01
689,2024-01-08 23:27:00,32,F,Москва,TikTok,medium,2024-01-08,2024-01-01
703,2024-01-08 14:00:00,70,F,Санкт-Петербург,TikTok,rare,2024-01-08,2024-01-01
705,2024-01-08 20:43:00,52,M,Другие регионы,TikTok,medium,2024-01-08,2024-01-01
715,2024-01-08 04:35:00,65,M,Другие регионы,TikTok,regular,2024-01-08,2024-01-01
723,2024-01-08 15:20:00,66,M,Москва,TikTok,rare,2024-01-08,2024-01-01
727,2024-01-08 18:52:00,48,M,Екатеринбург,TikTok,medium,2024-01-08,2024-01-01
732,2024-01-08 11:27:00,48,M,Санкт-Петербург,TikTok,rare,2024-01-08,2024-01-01
735,2024-01-08 05:18:00,20,F,Санкт-Петербург,TikTok,rare,2024-01-08,2024-01-01
741,2024-01-08 23:48:00,21,F,Другие регионы,TikTok,rare,2024-01-08,2024-01-01
742,2024-01-08 00:17:00,69,F,Другие регионы,TikTok,medium,2024-01-08,2024-01-01
746,2024-01-08 22:14:00,21,M,Другие регионы,TikTok,one_time,2024-01-08,2024-01-01
757,2024-01-08 10:28:00,29,M,Екатеринбург,TikTok,rare,2024-01-08,2024-01-01
758,2024-01-08 05:09:00,20,M,Другие регионы,TikTok,rare,2024-01-08,2024-01-01
759,2024-01-08 08:31:00,46,F,Москва,TikTok,regular,2024-01-08,2024-01-01
763,2024-01-08 16:20:00,30,M,Другие регионы,TikTok,rare,2024-01-08,2024-01-01
772,2024-01-08 23:15:00,18,M,Москва,TikTok,regular,2024-01-08,2024-01-01
784,2024-01-09 18:46:00,37,M,Санкт-Петербург,TikTok,rare,2024-01-08,2024-01-01
789,2024-01-09 13:13:00,57,F,Новосибирск,TikTok,one_time,2024-01-08,2024-01-01
797,2024-01-09 23:15:00,37,M,Другие регионы,TikTok,rare,2024-01-08,2024-01-01
798,2024-01-09 07:53:00,30,F,Санкт-Петербург,TikTok,medium,2024-01-08,2024-01-01
804,2024-01-09 05:59:00,37,M,Другие регионы,TikTok,one_time,2024-01-08,2024-01-01
805,2024-01-09 12:10:00,47,F,Москва,TikTok,regular,2024-01-08,2024-01-01
807,2024-01-09 07:48:00,24,F,Санкт-Петербург,TikTok,medium,2024-01-08,2024-01-01
812,2024-01-09 11:49:00,48,M,Другие регионы,TikTok,rare,2024-01-08,2024-01-01
817,2024-01-09 23:40:00,69,M,Другие регионы,TikTok,medium,2024-01-08,2024-01-01
829,2024-01-09 11:46:00,33,F,Москва,TikTok,one_time,2024-01-08,2024-01-01
846,2024-01-09 05:04:00,66,F,Московская область,TikTok,medium,2024-01-08,2024-01-01
852,2024-01-09 18:30:00,20,F,Другие регионы,TikTok,medium,2024-01-08,2024-01-01
864,2024-01-09 06:07:00,49,F,Другие регионы,TikTok,medium,2024-01-08,2024-01-01
875,2024-01-09 06:40:00,70,F,Другие регионы,TikTok,medium,2024-01-08,2024-01-01
880,2024-01-09 13:57:00,48,M,Московская область,TikTok,regular,2024-01-08,2024-01-01
881,2024-01-09 13:08:00,27,M,Екатеринбург,TikTok,regular,2024-01-08,2024-01-01
882,2024-01-09 08:08:00,43,M,Москва,TikTok,rare,2024-01-08,2024-01-01
894,2024-01-09 04:45:00,39,M,Новосибирск,TikTok,medium,2024-01-08,2024-01-01
898,2024-01-09 19:14:00,64,M,Санкт-Петербург,TikTok,rare,2024-01-08,2024-01-01
900,2024-01-09 19:31:00,45,M,Другие регионы,TikTok,one_time,2024-01-08,2024-01-01
915,2024-01-10 00:26:00,70,F,Московская область,TikTok,medium,2024-01-08,2024-01-01
926,2024-01-10 13:56:00,44,F,Московская область,TikTok,medium,2024-01-08,2024-01-01
927,2024-01-10 06:55:00,64,F,Ростов-на-Дону,TikTok,rare,2024-01-08,2024-01-01
928,2024-01-10 19:26:00,21,F,Москва,TikTok,medium,2024-01-08,2024-01-01
930,2024-01-10 19:59:00,66,M,Краснодар,TikTok,rare,2024-01-08,2024-01-01
949,2024-01-10 06:01:00,49,F,Санкт-Петербург,TikTok,medium,2024-01-08,2024-01-01
